agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2000-04-17	71.0	A
USGS	09066325	2000-04-18	91.0	A
USGS	09066325	2000-04-19	83.0	A
USGS	09066325	2000-04-20	73.0	A
USGS	09066325	2000-04-21	81.0	A
USGS	09066325	2000-04-22	87.0	A
USGS	09066325	2000-04-23	93.0	A
USGS	09066325	2000-04-24	87.0	A
USGS	09066325	2000-04-25	79.0	A
USGS	09066325	2000-04-26	87.0	A
USGS	09066325	2000-04-27	117	A
USGS	09066325	2000-04-28	156	A
USGS	09066325	2000-04-29	172	A
USGS	09066325	2000-04-30	167	A
USGS	09066325	2000-05-01	155	A
USGS	09066325	2000-05-02	207	A
USGS	09066325	2000-05-03	299	A
USGS	09066325	2000-05-04	388	A
USGS	09066325	2000-05-05	490	A
USGS	09066325	2000-05-06	543	A
USGS	09066325	2000-05-07	525	A
USGS	09066325	2000-05-08	487	A
USGS	09066325	2000-05-09	360	A
USGS	09066325	2000-05-10	372	A
USGS	09066325	2000-05-11	504	A
USGS	09066325	2000-05-12	482	A
USGS	09066325	2000-05-13	347	A
USGS	09066325	2000-05-14	303	A
USGS	09066325	2000-05-15	308	A
USGS	09066325	2000-05-16	373	A
USGS	09066325	2000-05-17	415	A
USGS	09066325	2000-05-18	322	A
USGS	09066325	2000-05-19	283	A
USGS	09066325	2000-05-20	286	A
USGS	09066325	2000-05-21	292	A
USGS	09066325	2000-05-22	385	A
USGS	09066325	2000-05-23	680	A
USGS	09066325	2000-05-24	931	A
USGS	09066325	2000-05-25	923	A
USGS	09066325	2000-05-26	764	A
USGS	09066325	2000-05-27	649	A
USGS	09066325	2000-05-28	788	A
USGS	09066325	2000-05-29	1170	A
USGS	09066325	2000-05-30	1250	A
USGS	09066325	2000-05-31	1180	A
USGS	09066325	2000-06-01	1050	A
USGS	09066325	2000-06-02	959	A
USGS	09066325	2000-06-03	900	A
USGS	09066325	2000-06-04	850	A
USGS	09066325	2000-06-05	815	A
USGS	09066325	2000-06-06	804	A
USGS	09066325	2000-06-07	789	A
USGS	09066325	2000-06-08	739	A
USGS	09066325	2000-06-09	654	A
USGS	09066325	2000-06-10	568	A
USGS	09066325	2000-06-11	512	A
USGS	09066325	2000-06-12	477	A
USGS	09066325	2000-06-13	413	A
USGS	09066325	2000-06-14	351	A
USGS	09066325	2000-06-15	383	A
USGS	09066325	2000-06-16	373	A
USGS	09066325	2000-06-17	316	A
USGS	09066325	2000-06-18	283	A
USGS	09066325	2000-06-19	340	A
USGS	09066325	2000-06-20	400	A
USGS	09066325	2000-06-21	302	A
USGS	09066325	2000-06-22	277	A
USGS	09066325	2000-06-23	255	A
USGS	09066325	2000-06-24	229	A
USGS	09066325	2000-06-25	230	A
USGS	09066325	2000-06-26	257	A
USGS	09066325	2000-06-27	263	A
USGS	09066325	2000-06-28	223	A
USGS	09066325	2000-06-29	208	A
USGS	09066325	2000-06-30	198	A
USGS	09066325	2000-07-01	188	A
USGS	09066325	2000-07-02	178	A
USGS	09066325	2000-07-03	165	A
USGS	09066325	2000-07-04	150	A
USGS	09066325	2000-07-05	137	A
USGS	09066325	2000-07-06	129	A
USGS	09066325	2000-07-07	123	A
USGS	09066325	2000-07-08	117	A
USGS	09066325	2000-07-09	137	A
USGS	09066325	2000-07-10	125	A
USGS	09066325	2000-07-11	117	A
USGS	09066325	2000-07-12	104	A
USGS	09066325	2000-07-13	96.0	A
USGS	09066325	2000-07-14	94.0	A
USGS	09066325	2000-07-15	92.0	A
USGS	09066325	2000-07-16	98.0	A
USGS	09066325	2000-07-17	112	A
USGS	09066325	2000-07-18	100	A
USGS	09066325	2000-07-19	85.0	A
USGS	09066325	2000-07-20	78.0	A
USGS	09066325	2000-07-21	68.0	A
